,question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
3593,What does Gross Floor Area GFA mean,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/16/2019 18:16,10/17/2019 16:51,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
3594,How do I apply for planning permission,How do I apply for planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/16/2019 17:30,10/17/2019 16:51,1,Oh Kie Hock,Catch all
3595,Temporary permission,What is a Temporary Written Permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,10/16/2019 17:42,10/17/2019 16:51,1,Oh Kie Hock,What is a Temporary Written Permission?
3596,Difference between tenant and occupant,What is the difference between sites that are zoned Business 1 and Business 2?,,Catch all,,No Feedback,10/16/2019 17:16,10/17/2019 16:51,1,Oh Kie Hock,General info on renting private residential property
3597,How much is the change of use,How do I submit a change of use lodgment?,Top Match,What are the processing fees for development applications?,Development Control > General Information on Development Control,Incorrect,10/16/2019 22:19,10/17/2019 16:51,1,Oh Kie Hock,General info on change of use
3598,Why am I ask to pay 535 for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,What are the processing fees for development applications?,Development Control > General Information on Development Control,Incorrect,10/16/2019 22:21,10/17/2019 16:50,1,Oh Kie Hock,General info on change of use
3599,report unauthorized addition of building,General info on reporting infringements,,General info on reporting infringements,,No Feedback,10/17/2019 0:49,10/17/2019 16:50,<1,Oh Kie Hock,General info on reporting infringements
3600,How can I check the approved use of a premises,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,10/16/2019 22:56,10/17/2019 16:49,1,Oh Kie Hock,General info on change of use
3601,Phone no matter f ura,Catch all,,Catch all,,No Feedback,10/17/2019 0:12,10/17/2019 16:49,<1,Oh Kie Hock,General Information about URA
3602,why some premises need approval from both URA and HDB,What are the development works that are exempted from planning permission?,,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,10/17/2019 9:39,10/17/2019 16:48,<1,Oh Kie Hock,General info on change of use
3603,I want to get approved building plan,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/17/2019 9:41,10/17/2019 16:48,<1,Oh Kie Hock,General info on change of use
3604,purchase certified plan,How can I obtain the approved plan for my property?,,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/17/2019 9:49,10/17/2019 16:48,<1,Oh Kie Hock,Are unit floor plans available in the Private Residential Property Transactions e-Service?
3605,PES,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",Incorrect,10/17/2019 10:10,10/17/2019 16:48,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
3606,development charge,General information on development charge rates,Top Match,"Where can I find the development charge sector, maps and rates?","Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/17/2019 12:43,10/17/2019 16:47,<1,Oh Kie Hock,General information on development charge rates
3607,who needs approval from both HDB and URA,What are the development works that are exempted from planning permission?,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,10/17/2019 11:58,10/17/2019 16:47,<1,Oh Kie Hock,Catch all
3608,why HDB premises need URA approval,What are the development works that are exempted from planning permission?,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,10/17/2019 12:05,10/17/2019 16:47,<1,Oh Kie Hock,Catch all
3609,is it onetime,General info for feedback on e-Service errors,,Catch all,,No Feedback,10/17/2019 12:43,10/17/2019 16:47,<1,Oh Kie Hock,
3610,What is the maximum site coverage for Good Class Bungalows,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/17/2019 13:25,10/17/2019 16:45,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
3611,home office,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,10/17/2019 13:51,10/17/2019 16:45,<1,Oh Kie Hock,General Info on Home Business
3612,how to contact Linda regarding complaint,General Information about URA,Top Match,General info on reporting infringements,,No Feedback,10/17/2019 13:54,10/17/2019 16:45,<1,Oh Kie Hock,General Information about URA
3613,May i know how to be the Agency contact person,General Information about URA,Top Match,Catch all,,No Feedback,10/17/2019 13:56,10/17/2019 16:45,<1,Oh Kie Hock,General Information about URA
3614,b1 b2,General info on change of use,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/17/2019 16:11,10/17/2019 16:45,<1,Oh Kie Hock,General info on change of use
3615,no need,General Info on Home Business,,Catch all,,No Feedback,10/17/2019 13:57,10/17/2019 16:44,<1,Oh Kie Hock,Thank you
3616,differential premium,General information on development charge rates,Top Match,Catch all,,No Feedback,10/17/2019 13:58,10/17/2019 16:44,<1,Oh Kie Hock,General information on development charge rates
3617,code on differential premium,General information on development charge rates,Top Match,Catch all,,No Feedback,10/17/2019 14:00,10/17/2019 16:43,<1,Oh Kie Hock,General information on development charge rates
3618,when differential premium required,General information on development charge rates,Top Match,Catch all,,No Feedback,10/17/2019 14:02,10/17/2019 16:43,<1,Oh Kie Hock,General information on development charge rates
3619,office to condominium,General Info on Home Business,,Catch all,,No Feedback,10/17/2019 14:03,10/17/2019 16:43,<1,Oh Kie Hock,General Info on Home Business
3620,where to download edaform,"General info on Additions and Alterations, and DC Forms",Top Match,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/17/2019 14:53,10/17/2019 16:43,<1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
3621,I would like to know the meanings for each color on masterplan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/17/2019 14:14,10/17/2019 16:42,<1,Oh Kie Hock,General Info on URA SPACE map service
3622,Where can I find the development charge sector maps and rates,General information on development charge rates,Top Match,"Where can I find the development charge sector, maps and rates?","Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/17/2019 15:10,10/17/2019 16:42,<1,Oh Kie Hock,General information on development charge rates
3623,to get building approved plan,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/17/2019 15:09,10/17/2019 16:42,<1,Oh Kie Hock,General information on building conservation
3624,guideline on development charges,General information on development charge rates,Top Match,"Where can I find the development charge sector, maps and rates?","Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/17/2019 15:11,10/17/2019 16:42,<1,Oh Kie Hock,General information on development charge rates
3625,How can I register tenant,Catch all,Top Match,Catch all,,No Feedback,10/17/2019 15:15,10/17/2019 16:41,<1,Oh Kie Hock,General info on renting private residential property
3626,Where can I find the development charge sector maps and rates,General information on development charge rates,Top Match,"Where can I find the development charge sector, maps and rates?","Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/17/2019 15:25,10/17/2019 16:41,<1,Oh Kie Hock,General information on development charge rates
3627,Is planning permission required to construct a cover over my Private Enclosed Space PES Roof Terrace balcony,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/17/2019 15:29,10/17/2019 16:41,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
3628,change od use,General info on change of use,Top Match,General info on change of use,,No Feedback,10/17/2019 15:35,10/17/2019 16:41,<1,Oh Kie Hock,General info on change of use
3629,exemption,What are the development works that are exempted from planning permission?,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,10/17/2019 15:39,10/17/2019 16:40,<1,Oh Kie Hock,What are the development works that are exempted from planning permission?
3630,differential premium,General information on development charge rates,Top Match,Catch all,,No Feedback,10/17/2019 15:30,10/17/2019 16:40,<1,Oh Kie Hock,General information on development charge rates
3631,differential premium,General information on development charge rates,Top Match,Catch all,,No Feedback,10/17/2019 15:30,10/17/2019 16:40,<1,Oh Kie Hock,General information on development charge rates
3632,Developmental Guide Plan,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,10/17/2019 16:11,10/17/2019 16:39,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
3633,how do i get a hold of the development guide plans,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,10/17/2019 16:11,10/17/2019 16:39,<1,Oh Kie Hock,General info on Development Control guidelines and handbooks
3634,Do you have master plan for Canberra mrt,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/17/2019 16:14,10/17/2019 16:39,<1,Oh Kie Hock,General Info on URA SPACE map service
3635,What is the difference between the Home Office Scheme and the HomeBased Business Guidelines,What is the difference between the Home Office Scheme and the Home-Based Business Guidelines?,Top Match,What is the difference between the Home Office Scheme and the Home-Based Business Guidelines?,Development Control > Home Office Scheme & Small Business Guidelines,No Feedback,10/17/2019 16:14,10/17/2019 16:39,<1,Oh Kie Hock,General Info on Home Business
3636,I would like to apply for home office The guideline says it would take only 30 mins But I have Ben going round and for for close to 2hrs This is not helpful at all,Catch all,Top Match,Catch all,,No Feedback,10/12/2019 8:39,10/17/2019 16:38,5,Oh Kie Hock,General Info on Home Business
3637,How to apply,Catch all,Top Match,Catch all,,No Feedback,10/12/2019 8:39,10/17/2019 16:37,5,Oh Kie Hock,Car Parks-Season Parking-Apply
3638,Application for home office,What is the difference between the Home Office Scheme and the Home-Based Business Guidelines?,Top Match,"If I do not conduct business activities within the premises and have no non-resident employees, do I",Development Control > Home Office Scheme & Small Business Guidelines,No Feedback,10/12/2019 8:39,10/17/2019 16:37,5,Oh Kie Hock,General Info on Home Business
3639,Family of 3 and 3 friends intend to rent a private property They have a maid Is the maid subjected to the occupancy cap,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/12/2019 9:35,10/17/2019 16:37,5,Oh Kie Hock,General info on renting private residential property
3640,sorry how can I find out if the units is legal to rent for work permit holdr,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/12/2019 14:17,10/17/2019 16:36,5,Oh Kie Hock,General info on renting private residential property
3641,for condominiums,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?",,Catch all,,No Feedback,10/12/2019 15:51,10/17/2019 16:36,5,Oh Kie Hock,What is the difference between a condominium and an apartment?
3642,Hi Jamie may I know where to find guidelines for nett floor area calculation for condo units For strata title purposes,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,10/12/2019 15:51,10/17/2019 16:36,5,Oh Kie Hock,General info on Development Control guidelines and handbooks
3643,Where can I find the development charge sector maps and rates,General information on development charge rates,Top Match,"Where can I find the development charge sector, maps and rates?","Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/12/2019 15:15,10/17/2019 16:35,5,Oh Kie Hock,General information on development charge rates
3644,for new strata titled condominium,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?",Top Match,Catch all,,No Feedback,10/12/2019 15:52,10/17/2019 16:35,5,Oh Kie Hock,What does strata area refer to?
3645,private property can hire worker,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/12/2019 18:57,10/17/2019 16:35,5,Oh Kie Hock,General info on renting private residential property
3646,private property for business use,General info on renting private residential property,Top Match,General Info on Home Business,,No Feedback,10/12/2019 18:56,10/17/2019 16:35,5,Oh Kie Hock,General info on change of use
3647,Revised site coverage,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/12/2019 16:06,10/17/2019 16:34,5,Oh Kie Hock,General info on Development Control guidelines and handbooks
3648,Revised site coverage for landed and non landed housing,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/12/2019 16:06,10/17/2019 16:34,5,Oh Kie Hock,General info on Development Control guidelines and handbooks
3649,Plot ratio,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/12/2019 19:36,10/17/2019 16:34,5,Oh Kie Hock,"What does ""Subject to Detailed Planning"" mean?"
3650,hi there I like to check if I can rent a landed property for business use,General info on renting private residential property,Top Match,General Info on Home Business,,No Feedback,10/12/2019 18:56,10/17/2019 16:34,5,Oh Kie Hock,General info on change of use
3651,May I know how to calculate the refund if the floor area is lesser than what it was stated in the brocher from the development,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,10/13/2019 11:15,10/17/2019 16:33,4,Oh Kie Hock,General info on Development Control guidelines and handbooks
3652,Envelop control under which act,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,10/13/2019 19:57,10/17/2019 16:33,4,Oh Kie Hock,General info on buying and renovating private residential properties
3653,Envelop control,Catch all,Top Match,Catch all,,No Feedback,10/13/2019 19:58,10/17/2019 16:33,4,Oh Kie Hock,General info on Development Control guidelines and handbooks
3654,Envelop control act,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,10/13/2019 20:01,10/17/2019 16:33,4,Oh Kie Hock,General info on Development Control guidelines and handbooks
3655,20 Lorong Puntong Area master plan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/13/2019 20:53,10/17/2019 16:33,4,Oh Kie Hock,General Info on URA SPACE map service
3656,May I ask how much stamp duties I need pay in total,General info on buying and renovating private residential properties,Top Match,Catch all,,No Feedback,10/14/2019 1:31,10/17/2019 16:32,3,Oh Kie Hock,General info on buying and renovating private residential properties
3657,envelop,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,10/14/2019 8:35,10/17/2019 16:32,3,Oh Kie Hock,General info on buying and renovating private residential properties
3658,envelop control,Catch all,Top Match,Catch all,,No Feedback,10/14/2019 8:35,10/17/2019 16:32,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
3659,envelop control guidelines,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/14/2019 8:36,10/17/2019 16:32,3,Oh Kie Hock,General info on buying and renovating private residential properties
3660,application for minor additions and alterations work,"General info on Additions and Alterations, and DC Forms",Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/14/2019 8:55,10/17/2019 16:32,3,Oh Kie Hock,What are the development works that are exempted from planning permission?
3661,display for lease signs,General info on renting private residential property,,Catch all,,No Feedback,10/14/2019 9:54,10/17/2019 16:31,3,Oh Kie Hock,General info on renting private residential property
3662,how do i log out after log in,General info for feedback on e-Service errors,Top Match,Catch all,,No Feedback,10/14/2019 10:08,10/17/2019 16:31,3,Oh Kie Hock,Catch all
3663,retention works submission,What are the development works that are exempted from planning permission?,,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/14/2019 10:26,10/17/2019 16:18,3,Oh Kie Hock,General information on building conservation
3664,retention works submission for substation,What are the development works that are exempted from planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/14/2019 10:26,10/17/2019 16:18,3,Oh Kie Hock,General information on building conservation
3665,DECLARATION FOR DEVELOPMENT APPLICATIONBY THE QUALIFIED PERSON,What are the processing fees for development applications?,,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/14/2019 12:09,10/17/2019 16:17,3,Oh Kie Hock,General Information about URA
3666,how to find master plan 1985,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/14/2019 12:45,10/17/2019 16:16,3,Oh Kie Hock,General Info on URA SPACE map service
3667,master plan 1990,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/14/2019 12:48,10/17/2019 16:16,3,Oh Kie Hock,General Info on URA SPACE map service
3668,i want to find the allowable building height,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,10/14/2019 11:32,10/17/2019 16:16,3,Oh Kie Hock,General info on buying and renovating private residential properties
3669,Loft,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/14/2019 12:45,10/17/2019 16:16,3,Oh Kie Hock,"My unit has a high ceiling, can I build a loft?"
3670,temporary permission renewal,What is a Temporary Written Permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,10/14/2019 13:29,10/17/2019 16:16,3,Oh Kie Hock,What is a Temporary Written Permission?
3671,how to apply for change of use for private residential to home office use,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,10/14/2019 13:42,10/17/2019 16:16,3,Oh Kie Hock,General info on change of use
3672,What is the considerations for property use For Training Centre for FB purpose cum Administrative Office,General Info on Home Business,,Catch all,,No Feedback,10/14/2019 13:51,10/17/2019 16:15,3,Oh Kie Hock,General info on change of use
3673,Hi Jamie I would like to apply for the home office scheme as a tenant of a landed property My landlord is asking if there is any issue as its a residential property,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,10/14/2019 13:53,10/17/2019 16:15,3,Oh Kie Hock,General Info on Home Business
3674,Likely her question is about taxes as well Just to make sure that if I apply for the home office scheme there is no consequence for the landlord,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,10/14/2019 13:54,10/17/2019 16:15,3,Oh Kie Hock,General Info on Home Business
3675,officer number,General Information about URA,Top Match,General Information about URA,,No Feedback,10/14/2019 14:31,10/17/2019 16:13,3,Oh Kie Hock,General Information about URA
3676,hotline,General Information about URA,Top Match,General Information about URA,,No Feedback,10/14/2019 14:32,10/17/2019 16:13,3,Oh Kie Hock,General Information about URA
3677,contact number,General Information about URA,Top Match,General Information about URA,,No Feedback,10/14/2019 14:32,10/17/2019 16:13,3,Oh Kie Hock,General Information about URA
3678,i have granted approval of change of use how do I print out the approval letter,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/14/2019 14:11,10/17/2019 16:09,3,Oh Kie Hock,General info on change of use
3679,where to find students hostel guidelines,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/14/2019 14:08,10/17/2019 16:09,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
3680,security agency office,General Info on Home Business,,Catch all,,No Feedback,10/14/2019 15:14,10/17/2019 16:09,3,Oh Kie Hock,Catch all
3681,minor amendment,What are the development works that are exempted from planning permission?,,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,10/14/2019 15:07,10/17/2019 16:09,3,Oh Kie Hock,What are the development works that are exempted from planning permission?
3682,How long does it take for its parking fine to be updated,How long does it take for URA to process a development application?,Top Match,How long does it take for URA to process a development application?,Development Control > General Information on Development Control,Incorrect,10/14/2019 14:13,10/17/2019 16:07,3,Oh Kie Hock,(Payment) When do I need to make payment for the notice of parking offence?
3683,where do I rpint the approval letter,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/14/2019 14:17,10/17/2019 16:07,3,Oh Kie Hock,General info on change of use
3684,HOW TO INSERT COMPANY NAME IN URA FORM,General Information about URA,,General info for feedback on e-Service errors,,No Feedback,10/14/2019 16:05,10/17/2019 16:06,3,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
3685,EDA FORM,"General info on Additions and Alterations, and DC Forms",Top Match,General info for feedback on e-Service errors,,No Feedback,10/14/2019 16:05,10/17/2019 16:06,3,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
3686,I CANT ENTER SITE NO IN THE EDA FORM,General info for feedback on e-Service errors,Top Match,General info for feedback on e-Service errors,,No Feedback,10/14/2019 16:08,10/17/2019 16:03,3,Oh Kie Hock,General info for feedback on e-Service errors
3687,Condo illegal subletting,General info on renting private residential property,Top Match,General info on reporting infringements,,No Feedback,10/14/2019 16:34,10/17/2019 16:01,3,Oh Kie Hock,General info on renting private residential property
3688,does covered car park shelter need planning approval,What are the development works that are exempted from planning permission?,,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,10/14/2019 16:25,10/17/2019 16:01,3,Oh Kie Hock,Catch all
3689,contact for condo illegally doing Airnb,General Information about URA,Top Match,General info on reporting infringements,,No Feedback,10/14/2019 16:34,10/17/2019 16:01,3,Oh Kie Hock,General Information about URA
3690,can landed roof terrace be covered,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,What do I need to know when renovating a landed residential property?,Development Control > Renovating Private Landed Residential Properties,No Feedback,10/14/2019 17:35,10/17/2019 16:00,3,Oh Kie Hock,General info on buying and renovating private residential properties
3691,for landed terrace house with open roof terrace could I build covered terrace,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,What do I need to know when renovating a landed residential property?,Development Control > Renovating Private Landed Residential Properties,No Feedback,10/14/2019 17:37,10/17/2019 16:00,3,Oh Kie Hock,General info on buying and renovating private residential properties
3692,Air n b,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/14/2019 16:36,10/17/2019 16:00,3,Oh Kie Hock,General info on reporting infringements
3693,who owns condo,General info on renting private residential property,,Catch all,,No Feedback,10/14/2019 16:39,10/17/2019 16:00,3,Oh Kie Hock,General info on renting private residential property
3694,Right owner of condo,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/14/2019 16:39,10/17/2019 16:00,3,Oh Kie Hock,"Where can I find more detailed, or a longer, data series?"
3695,Silat avenue is which masterplan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/14/2019 16:42,10/17/2019 16:00,3,Oh Kie Hock,General Info on URA SPACE map service
3696,UNDER SITE FACILITY CANT ENTER THE SITE NO,General info for feedback on e-Service errors,Top Match,General info for feedback on e-Service errors,,No Feedback,10/14/2019 17:21,10/17/2019 16:00,3,Oh Kie Hock,General info for feedback on e-Service errors
3697,where to download latest EDA form,"General info on Additions and Alterations, and DC Forms",Top Match,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/14/2019 17:39,10/17/2019 15:59,3,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
3698,can I build covered terrace above my landed car porch,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,What do I need to know when renovating a landed residential property?,Development Control > Renovating Private Landed Residential Properties,No Feedback,10/14/2019 18:19,10/17/2019 15:59,3,Oh Kie Hock,What do I need to know when renovating a landed residential property?
3699,I just purchased a new landed property 1 Can I build a covered terrace on the balcony above my car porch 2 Can I build a covered terrace on the open roof terrace,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,What do I need to know when renovating a landed residential property?,Development Control > Renovating Private Landed Residential Properties,Incorrect,10/14/2019 18:22,10/17/2019 15:59,3,Oh Kie Hock,What do I need to know when renovating a landed residential property?
3700,My unit has a high ceiling can I build a loft,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/14/2019 23:03,10/17/2019 15:58,3,Oh Kie Hock,"My unit has a high ceiling, can I build a loft?"
3701,My unit has a high ceiling can I build a loft,"My unit has a high ceiling, can I build a loft?",Top Match,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/14/2019 23:25,10/17/2019 15:58,3,Oh Kie Hock,"My unit has a high ceiling, can I build a loft?"
3702,How do I apply for planning permission,How do I apply for planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/14/2019 23:26,10/17/2019 15:58,3,Oh Kie Hock,Catch all
3703,Loft permission,"My unit has a high ceiling, can I build a loft?",,"My unit has a high ceiling, can I build a loft?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/14/2019 23:30,10/17/2019 15:58,3,Oh Kie Hock,What is a Temporary Written Permission?
3704,Is planning permission required to construct a cover over my Private Enclosed Space PES Roof Terrace balcony,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/14/2019 23:31,10/17/2019 15:58,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
3705,New submission,How do I apply for planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/14/2019 23:31,10/17/2019 15:58,3,Oh Kie Hock,Where can I find the latest URA circulars?
3706,Rooftop,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/14/2019 23:37,10/17/2019 15:58,3,Oh Kie Hock,General information on planning process
3707,Roof top,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/14/2019 23:38,10/17/2019 15:58,3,Oh Kie Hock,General information on building conservation
3708,Bidadari,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/9/2019 7:23,10/17/2019 15:57,8,Oh Kie Hock,Catch all
3709,here can i find bidadari plans,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/9/2019 7:24,10/17/2019 15:56,8,Oh Kie Hock,General Info on URA SPACE map service
3710,ow to check floor area for landed,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/9/2019 16:57,10/17/2019 15:56,8,Oh Kie Hock,General info on Development Control guidelines and handbooks
3711,i would like to report my landlord making the living room into two common rooms,General info on renting private residential property,Top Match,General info on reporting infringements,,No Feedback,10/10/2019 1:44,10/17/2019 15:54,7,Oh Kie Hock,General info on reporting infringements
3712,masterplan zoning,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/10/2019 3:03,10/17/2019 15:54,7,Oh Kie Hock,General Info on URA SPACE map service
3713,can you share more information regarding Serviced apartment licensing,General info on renting private residential property,,General info on Development Control guidelines and handbooks,,No Feedback,10/10/2019 9:32,10/17/2019 15:49,7,Oh Kie Hock,General info on renting private residential property
3714,How can I get a draft master plan for the development of MRT lines in Bedok,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,10/10/2019 8:30,10/17/2019 15:22,7,Oh Kie Hock,General Info on URA SPACE map service
3715,How to view master plan map,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/10/2019 7:36,10/17/2019 15:22,7,Oh Kie Hock,General Info on URA SPACE map service
3716,development in queenstown,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/10/2019 10:28,10/17/2019 15:21,7,Oh Kie Hock,General Info on URA SPACE map service
3717,any plan for marsiling area,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/10/2019 8:51,10/17/2019 15:21,7,Oh Kie Hock,General Info on URA SPACE map service
3718,manual submission,What are the processing fees for development applications?,,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/10/2019 8:45,10/17/2019 15:21,7,Oh Kie Hock,What are the submission requirements for a change of use application?
