question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
Bonus GFA,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/6/2019 16:30,10/16/2019 12:33,10,Oh Kie Hock,General info on Development Control guidelines and handbooks
I intend to buy a semi d to rebuild and sell Do I need to get a developer license,Catch all,Top Match,Catch all,,No Feedback,10/6/2019 16:59,10/16/2019 12:33,10,Oh Kie Hock,General info on buying and renovating private residential properties
lodegement,General info on change of use,Top Match,General info on change of use,,No Feedback,10/6/2019 21:16,10/16/2019 12:32,10,Oh Kie Hock,
commercial zone,Catch all,Top Match,Catch all,,No Feedback,10/6/2019 21:40,10/16/2019 12:32,10,Oh Kie Hock,Catch all
hotel zone,Catch all,Top Match,Catch all,,No Feedback,10/6/2019 21:47,10/16/2019 12:32,10,Oh Kie Hock,General information on planning process
beauty world,Catch all,Top Match,Catch all,,No Feedback,10/6/2019 22:43,10/16/2019 12:32,10,Oh Kie Hock,Catch all
beauty world plan,Catch all,,Catch all,,No Feedback,10/6/2019 22:43,10/16/2019 12:32,10,Oh Kie Hock,Catch all
How much,Catch all,Top Match,Catch all,,No Feedback,10/6/2019 23:53,10/16/2019 12:32,10,Oh Kie Hock,(Common Offences) What are the types of parking offences and composition amount?
search for approved use of property,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,10/2/2019 12:08,10/16/2019 12:26,14,Oh Kie Hock,General info on change of use
How to define detached house,General info on buying and renovating private residential properties,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/2/2019 10:05,10/16/2019 12:25,14,Oh Kie Hock,General info on Development Control guidelines and handbooks
private property renting from a tenant,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/2/2019 9:50,10/16/2019 12:15,14,Oh Kie Hock,General info on renting private residential property
Can a construction company register under Home Office Scheme,General Info on Home Business,Top Match,"If I do not conduct business activities within the premises and have no non-resident employees, do I",Development Control > Home Office Scheme & Small Business Guidelines,No Feedback,10/2/2019 10:47,10/16/2019 12:15,14,Oh Kie Hock,General Info on Home Business
how to register tenant under condominium or landed house,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/2/2019 10:24,10/16/2019 12:12,14,Oh Kie Hock,General info on renting private residential property
It is long term accomodation,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/2/2019 10:59,10/16/2019 12:12,14,Oh Kie Hock,General info on renting private residential property
Hi Would like to ask if you could help me check if the owner of the place im renting register me as tenant,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/2/2019 10:58,10/16/2019 12:12,14,Oh Kie Hock,Catch all
how to apply URA home office,General Info on Home Business,Top Match,"If I do not conduct business activities within the premises and have no non-resident employees, do I",Development Control > Home Office Scheme & Small Business Guidelines,No Feedback,10/2/2019 12:11,10/16/2019 12:10,14,Oh Kie Hock,General Info on Home Business
planning permission for main door position,What are the development works that are exempted from planning permission?,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,10/2/2019 12:12,10/16/2019 12:06,14,Oh Kie Hock,What is a Temporary Written Permission?
step by step home office guide,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,10/2/2019 12:12,10/16/2019 12:05,14,Oh Kie Hock,General Info on Home Business
home office applicant and on behalf,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,10/2/2019 12:13,10/16/2019 12:05,14,Oh Kie Hock,General Info on Home Business
safeguarded historical baseline,General information on development charge rates,Top Match,"Where can I find the development charge sector, maps and rates?","Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/2/2019 14:00,10/16/2019 12:03,14,Oh Kie Hock,"Where can I find the development charge sector, maps and rates?"
How to convert a residential landed property to a student hostel near an international school,General info on change of use,Top Match,General info on change of use,,No Feedback,10/2/2019 13:43,10/16/2019 12:01,14,Oh Kie Hock,General info on change of use
white component business park,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,10/2/2019 13:58,10/16/2019 12:01,14,Oh Kie Hock,General info on Development Control guidelines and handbooks
Where can I get the safeguarded historical baseline form,General information on development charge rates,Top Match,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/2/2019 13:59,10/16/2019 12:01,14,Oh Kie Hock,General information on development charge rates
renew temporary written permission to continue approved use,General info on change of use,Top Match,How do I submit a renewal application for change of use?,Development Control > Change of Use,No Feedback,10/2/2019 14:37,10/16/2019 12:00,14,Oh Kie Hock,What is a Temporary Written Permission?
Can I buy a private property after staying in my HDB for 12 years Can I stay in the condo and keep my HDB,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/2/2019 15:07,10/16/2019 12:00,14,Oh Kie Hock,Catch all
where can i check the approved use of a shop in a shopping mall,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,10/2/2019 14:21,10/16/2019 11:57,14,Oh Kie Hock,General info on change of use
written consent,Catch all,Top Match,Catch all,,No Feedback,10/2/2019 14:07,10/16/2019 11:55,14,Oh Kie Hock,What is a Temporary Written Permission?
home office Authorisation of Letter,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,10/2/2019 14:08,10/16/2019 11:55,14,Oh Kie Hock,General Info on Home Business
download step by step guide renewal of use,General info on change of use,Top Match,How do I submit a renewal application for change of use?,Development Control > Change of Use,No Feedback,10/2/2019 14:51,10/16/2019 11:55,14,Oh Kie Hock,General info on change of use
Hi my tenant want to renew 1 month after staying 2 years in the rented apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/2/2019 15:11,10/16/2019 11:54,14,Oh Kie Hock,General info on renting private residential property
Renewal rental,General info on renting private residential property,,General info on renting private residential property,,No Feedback,10/2/2019 15:16,10/16/2019 11:54,14,Oh Kie Hock,General info on renting private residential property
URA BIM,Catch all,,Catch all,,No Feedback,10/2/2019 15:40,10/16/2019 11:53,14,Oh Kie Hock,General Information about URA
lush,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/2/2019 15:43,10/16/2019 11:53,14,Oh Kie Hock,General info on Development Control guidelines and handbooks
is Bim submission compulsory,Catch all,,Catch all,,No Feedback,10/2/2019 15:46,10/16/2019 11:53,14,Oh Kie Hock,Catch all
how do I measure land area,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,10/2/2019 16:20,10/16/2019 11:53,14,Oh Kie Hock,General info on Development Control guidelines and handbooks
land area,Catch all,Top Match,Catch all,,No Feedback,10/2/2019 16:20,10/16/2019 11:52,14,Oh Kie Hock,General Info on URA SPACE map service
land area in master plan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/2/2019 16:20,10/16/2019 11:52,14,Oh Kie Hock,General Info on URA SPACE map service
change of use from the authority,How do I submit a change of use lodgment?,Top Match,General info on change of use,,No Feedback,10/2/2019 17:32,10/16/2019 11:28,14,Oh Kie Hock,General info on change of use
I wanted to extract my ura for shop use how can I do,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,10/2/2019 17:58,10/16/2019 11:28,14,Oh Kie Hock,General info on change of use
Permit to drill the slab to make stairs in my condo,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/2/2019 18:08,10/16/2019 11:27,14,Oh Kie Hock,General info on renting private residential property
Plot ratio,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/2/2019 18:43,10/16/2019 11:27,14,Oh Kie Hock,General info on Development Control guidelines and handbooks
How can I find out the unit breakdown for 99 lease years for landed property,General info on buying and renovating private residential properties,Top Match,Catch all,,No Feedback,10/2/2019 21:58,10/16/2019 11:27,14,Oh Kie Hock,General info on renting private residential property
Can I refund unused car psrk coupons,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,Correct,10/12/2019 23:15,10/12/2019 23:16,<1,Kan Yuan Jing,(PON) What should I do if I wish to return unused / wrongly torn coupons?
How to pay my fine,(Payment) How do I make payment for my parking offence?,Top Match,(Payment) How do I make payment for my parking offence?,Car Parks,No Feedback,10/9/2019 8:28,10/9/2019 16:22,<1,Kan Yuan Jing,Car Parks-Parking Offences
How can i cancel my vpc,Car Parks-Use of Parking Lots for non-parking purpose-Cancel/Amend application,Top Match,(VPC) How do I terminate my Vehicle Parking Certificate (VPC)?,Car Parks,No Feedback,10/9/2019 11:05,10/9/2019 16:22,<1,Kan Yuan Jing,Car Parks-VPC
CHANGE OF IU,(SPT) I have URA season parking at an Electronic Parking System (EPS) car park. Do I need to inform URA on changes to my In-Vehicle Unit (IU) number?,Top Match,(SPT) I have URA season parking at an Electronic Parking System (EPS) car park. Do I need to inform URA on changes to my In-Vehicle Unit (IU) number?,Car Parks,No Feedback,10/9/2019 11:25,10/9/2019 16:21,<1,Kan Yuan Jing,
is the parking lot for heavy vehicle at lot no D0028,Car Parks-Season Parking-Apply,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,10/9/2019 12:18,10/9/2019 16:21,<1,Kan Yuan Jing,(STPC) Where can I find information on URA car park locations and parking charges?
Hi I would like to make an appointment to pay my fine,Car Parks-Parking Offences-Appeals,Top Match,(Payment) How do I make payment for my parking offence?,Car Parks,No Feedback,10/9/2019 13:59,10/9/2019 16:21,<1,Kan Yuan Jing,Car Parks-Parking Offences
Would like to make an appointment to pay the fine,Car Parks-Parking Offences-Appeals,Top Match,(Payment) How do I make payment for my parking offence?,Car Parks,No Feedback,10/9/2019 14:15,10/9/2019 16:21,<1,Kan Yuan Jing,Car Parks-Parking Offences
i want to reappeal the fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/9/2019 13:32,10/9/2019 16:20,<1,Kan Yuan Jing,General Information about URA
season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/9/2019 13:34,10/9/2019 16:20,<1,Kan Yuan Jing,Car Parks-Season Parking
workplace season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/9/2019 14:06,10/9/2019 16:20,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
how to buy season parking workspace,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/9/2019 14:09,10/9/2019 16:20,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
Court summon,Car Parks-Parking Offences,Top Match,Car Parks-Parking Offences,,No Feedback,10/9/2019 14:14,10/9/2019 16:19,<1,Kan Yuan Jing,Car Parks-Parking Offences
How many motorcycle lots are there in P0013 car park,Car Parks-Season Parking-Apply,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,10/9/2019 14:42,10/9/2019 16:19,<1,Kan Yuan Jing,(STPC) Where can I find information on URA car park locations and parking charges?
print car park receipt,Car Parks-Season Parking,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/9/2019 14:27,10/9/2019 16:19,<1,Kan Yuan Jing,Can I check my Parking.sg parking history and export my parking transactions?
ura parking receipt,Car Parks-Season Parking,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/9/2019 14:29,10/9/2019 16:19,<1,Kan Yuan Jing,Car Parks-Season Parking
print season parking receipt,Car Parks-Season Parking,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/9/2019 14:45,10/9/2019 16:19,<1,Kan Yuan Jing,Car Parks-Season Parking
print ura season parking receipt,Car Parks-Season Parking,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/9/2019 14:45,10/9/2019 16:19,<1,Kan Yuan Jing,Car Parks-Season Parking
Where is the location of M0024 car park,Car Parks-Season Parking-Apply,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,10/9/2019 14:46,10/9/2019 16:18,<1,Kan Yuan Jing,(STPC) Where can I find information on URA car park locations and parking charges?
Where is M0024 car park,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,10/9/2019 14:46,10/9/2019 16:18,<1,Kan Yuan Jing,(STPC) Where can I find information on URA car park locations and parking charges?
printing ura parking receipt,Car Parks-Season Parking,,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/9/2019 14:54,10/9/2019 16:18,<1,Kan Yuan Jing,Car Parks-Season Parking
print season parking receipts,Car Parks-Season Parking,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/9/2019 15:01,10/9/2019 16:17,<1,Kan Yuan Jing,Car Parks-Season Parking
furnish driver,(FurnishDriver) How do I furnish the driver's particulars?,Top Match,(FurnishDriver) How do I furnish the driver's particulars?,Car Parks,No Feedback,10/9/2019 14:54,10/9/2019 16:17,<1,Kan Yuan Jing,General info for feedback on e-Service errors
how to apply season parking at mattar mrt,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/9/2019 14:54,10/9/2019 16:17,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
i need print the invoice for vpc and car park,(VPC) How do I check if my Vehicle Parking Certificate is renewed sucessfully? Is there a receipt?,Top Match,(VPC) How do I check if my Vehicle Parking Certificate is renewed sucessfully? Is there a receipt?,Car Parks,No Feedback,10/9/2019 15:51,10/9/2019 16:17,<1,Kan Yuan Jing,Car Parks-VPC
car pak pay for one time user,Car Parks-Use of Parking lot for non-parking purpose,Top Match,(UPL) How do I pay for the use of parking lots? Is there a payment due date?,Car Parks,No Feedback,10/4/2019 15:26,10/7/2019 15:08,3,Kan Yuan Jing,Car Parks-Parking Offences
PL1232000858 for payment,(Payment) How do I check my outstanding fines and if my fines are paid?,,(UPL) How do I pay for the use of parking lots? Is there a payment due date?,Car Parks,No Feedback,10/4/2019 15:40,10/7/2019 15:08,3,Kan Yuan Jing,Contextual Question
Application for Purchase of Season Parking Ticket for Heavy Vehicle,Car Parks-Season Parking,Top Match,Car Parks-Season Parking,,No Feedback,10/4/2019 16:55,10/7/2019 15:07,3,Kan Yuan Jing,Car Parks-Season Parking
how do i buy season parking for geylang,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/4/2019 17:04,10/7/2019 15:07,3,Kan Yuan Jing,Car Parks-Season Parking-Apply
how to make payment for use of parking lot,Car Parks-Use of Parking lot for non-parking purpose,Top Match,(UPL) How do I pay for the use of parking lots? Is there a payment due date?,Car Parks,No Feedback,10/4/2019 17:21,10/7/2019 15:07,3,Kan Yuan Jing,Car Parks-Use of Parking lot for non-parking purpose
my status for apply for parking lot shows approved but i cant make payment,Car Parks-Use of Parking lot for non-parking purpose,Top Match,(UPL) How do I pay for the use of parking lots? Is there a payment due date?,Car Parks,No Feedback,10/4/2019 17:31,10/7/2019 15:07,3,Kan Yuan Jing,General info for feedback on e-Service errors
How do i apply for season parking at Hong Lim,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/4/2019 17:47,10/7/2019 15:05,3,Kan Yuan Jing,Car Parks-Season Parking-Apply
do i need to pay fine if i am appealing,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/4/2019 20:22,10/7/2019 15:05,3,Kan Yuan Jing,Car Parks-Parking Offences
Hi Jamie Ive sent an appeal to URA regarding my parking fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/4/2019 20:42,10/7/2019 15:05,3,Kan Yuan Jing,Car Parks-Parking Offences
Do I still have to pay first or wait for the appeal to be processed finished,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/4/2019 20:42,10/7/2019 15:05,3,Kan Yuan Jing,Car Parks-Parking Offences
I want to apply for season parking in ue bizhub,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/4/2019 22:46,10/7/2019 15:04,3,Kan Yuan Jing,Car Parks-Season Parking-Apply
season parking at ue bizhub,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/4/2019 22:51,10/7/2019 15:04,3,Kan Yuan Jing,Car Parks-Season Parking-Apply
how can i renew my vpc for 1 year,Car Parks - VPC - Problems,Top Match,(VPC) How do I change the renewal period for my Vehicle Parking Certificate (VPC) under GIRO payment?,Car Parks,No Feedback,10/5/2019 15:20,10/7/2019 15:04,2,Kan Yuan Jing,Car Parks-VPC-Renew
heavy vehicle transfer season parking,Car Parks-Season Parking,Top Match,Car Parks-Season Parking-Transfer,,No Feedback,10/5/2019 16:36,10/7/2019 14:57,2,Kan Yuan Jing,Car Parks-Season Parking-Transfer
Can I purchase a Vehicle Parking Certificate VPC for a URA heavy vehicle park,(VPC) How do I terminate my Vehicle Parking Certificate (VPC)?,Top Match,Car Parks-VPC,,No Feedback,10/5/2019 16:37,10/7/2019 14:57,2,Kan Yuan Jing,(VPC) Can I purchase a Vehicle Parking Certificate (VPC) for a URA heavy vehicle park?
Ura fines,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,10/5/2019 19:00,10/7/2019 14:56,2,Kan Yuan Jing,Car Parks-Parking Offences
Street parking rates in Chinatown,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,10/5/2019 23:21,10/7/2019 14:56,2,Kan Yuan Jing,(STPC) Where can I find information on URA car park locations and parking charges?
APPLY FOR VPC,Car Parks-VPC,Top Match,Car Parks-VPC,,No Feedback,10/6/2019 13:01,10/7/2019 14:56,1,Kan Yuan Jing,Car Parks-VPC
how to apply for vpc,Car Parks-VPC,Top Match,Car Parks-VPC,,No Feedback,10/6/2019 13:02,10/7/2019 14:55,1,Kan Yuan Jing,Car Parks-VPC
apply for vpc,Car Parks-VPC,Top Match,Car Parks-VPC,,No Feedback,10/6/2019 13:03,10/7/2019 14:55,1,Kan Yuan Jing,Car Parks-VPC
apply for vpc,Car Parks-VPC,Top Match,Car Parks-VPC,,No Feedback,10/6/2019 13:18,10/7/2019 14:55,1,Kan Yuan Jing,Car Parks-VPC
Apply vpc,Car Parks-VPC,Top Match,Car Parks-VPC,,No Feedback,10/6/2019 16:08,10/7/2019 14:55,1,Kan Yuan Jing,Car Parks-VPC
What price vpc,Car Parks-VPC,,(VPC) How much does your Vehicle Parking Certificate (VPC) cost?,Car Parks,No Feedback,10/6/2019 23:53,10/7/2019 14:55,1,Kan Yuan Jing,Car Parks-VPC
Can I purchase a Vehicle Parking Certificate VPC for a URA heavy vehicle park,(VPC) How do I terminate my Vehicle Parking Certificate (VPC)?,Top Match,Car Parks-VPC,,No Feedback,10/6/2019 23:54,10/7/2019 14:55,1,Kan Yuan Jing,(VPC) Can I purchase a Vehicle Parking Certificate (VPC) for a URA heavy vehicle park?
Vpc,Car Parks-VPC,Top Match,Car Parks-VPC,,No Feedback,10/6/2019 23:52,10/7/2019 14:54,1,Kan Yuan Jing,(VPC) Which types of heavy vehicles come under the Vehicle Parking Certificate Scheme (VPC)?
revoke of pass,(SPT) How do I revoke my temporary pass and how long does it take to be approved?,,(SPT) How do I revoke my temporary pass and how long does it take to be approved?,Car Parks,No Feedback,10/7/2019 9:16,10/7/2019 14:52,<1,Kan Yuan Jing,Car Parks-Season Parking-Terminate
How do i provide the details of the driver who has committed parking offence,(FurnishDriver) How do I furnish the driver's particulars?,Top Match,(FurnishDriver) How do I furnish the driver's particulars?,Car Parks,No Feedback,10/7/2019 10:00,10/7/2019 14:52,<1,Kan Yuan Jing,Car Parks-Parking Offences-Check outstanding
for season parking at Beatty road can park overnight,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/7/2019 12:28,10/7/2019 14:52,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
season parking at Beatty road,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/7/2019 12:34,10/7/2019 14:52,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
I am looking for season parking at p0117,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/7/2019 14:38,10/7/2019 14:51,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
how to buy season parking for p0117,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/7/2019 14:40,10/7/2019 14:51,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
how to calculate development charge exemption,General information on development charge rates,Top Match,General information on development charge rates,,No Feedback,10/4/2019 10:33,10/4/2019 15:26,<1,Benjamin Chow,General information on development charge rates
complain,Catch all,Top Match,General info on reporting infringements,,No Feedback,10/4/2019 9:52,10/4/2019 15:26,<1,Benjamin Chow,General info on renting private residential property
how to make a complain,General info on renting private residential property,Top Match,General info on reporting infringements,,No Feedback,10/4/2019 9:52,10/4/2019 15:25,<1,Benjamin Chow,General info on reporting infringements
CHANGE OF USE FOR COMMERCIAL PROPERTIES,How do I submit a change of use lodgment?,Top Match,General info on change of use,,No Feedback,10/4/2019 10:05,10/4/2019 15:25,<1,Benjamin Chow,General info on change of use
For carpark coupon I marktear the starting time,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,Incorrect,10/4/2019 9:58,10/4/2019 15:25,<1,Benjamin Chow,(PON) What should I do if I wish to return unused / wrongly torn coupons?
Do I need to pay development charge if I subdivide my property,General information on development charge rates,Top Match,General info on buying and renovating private residential properties,,No Feedback,10/4/2019 10:32,10/4/2019 15:25,<1,Benjamin Chow,General info on buying and renovating private residential properties
email,General Information about URA,Top Match,General Information about URA,,No Feedback,10/4/2019 10:20,10/4/2019 15:24,<1,Benjamin Chow,General Information about URA
CONTACT NUMBER,General Information about URA,Top Match,General Information about URA,,No Feedback,10/4/2019 11:07,10/4/2019 15:24,<1,Benjamin Chow,Who can I speak to at URA?
How do I interpret the land uses on the Master Plan,General information on planning process,Top Match,General information on planning process,,No Feedback,10/4/2019 11:16,10/4/2019 15:24,<1,Benjamin Chow,General Info on URA SPACE map service
is the email address,General Information about URA,Top Match,General Information about URA,,No Feedback,10/4/2019 11:38,10/4/2019 15:24,<1,Benjamin Chow,General Information about URA
GFA,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/4/2019 12:53,10/4/2019 15:24,<1,Benjamin Chow,Catch all
can foreign companies rent residential unit,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/4/2019 12:53,10/4/2019 15:24,<1,Benjamin Chow,General info on renting private residential property
commerical and residential,General info on change of use,,General info on change of use,,No Feedback,10/4/2019 13:05,10/4/2019 15:24,<1,Benjamin Chow,General info on change of use
3d model of singapore,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,10/4/2019 14:09,10/4/2019 15:24,<1,Benjamin Chow,General Info on URA SPACE map service
may i have the mailing addres of The ura centre,General Information about URA,Top Match,General Information about URA,,No Feedback,10/4/2019 14:33,10/4/2019 15:24,<1,Benjamin Chow,General Information about URA
location of the ura centre,General Information about URA,Top Match,General Information about URA,,No Feedback,10/4/2019 14:34,10/4/2019 15:24,<1,Benjamin Chow,(STPC) Where can I find information on URA car park locations and parking charges?
how much is the rate to use parking lots,(UPL) How do I apply for the use of parking lots?,Top Match,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,10/4/2019 14:44,10/4/2019 15:24,<1,Benjamin Chow,Rephrase question
what is singapore City Gallery Is this also URA office,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,10/4/2019 15:02,10/4/2019 15:24,<1,Benjamin Chow,What are the Singapore City Gallery's opening hours?
what is singapore City Gallery,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,10/4/2019 15:02,10/4/2019 15:24,<1,Benjamin Chow,What are the Singapore City Gallery's opening hours?
what is singapore City Gallery,General information on Singapore City Gallery,Top Match,General information on Singapore City Gallery,,No Feedback,10/4/2019 15:03,10/4/2019 15:24,<1,Benjamin Chow,What are the Singapore City Gallery's opening hours?
What is urban redevelopment agency opening hours,General Information about URA,Top Match,General Information about URA,,No Feedback,10/4/2019 15:05,10/4/2019 15:24,<1,Benjamin Chow,What are the Singapore City Gallery's opening hours?
What is URA opening hours,General Information about URA,Top Match,General Information about URA,,No Feedback,10/4/2019 15:05,10/4/2019 15:24,<1,Benjamin Chow,What are URA's operating hours?
Hi can I walk in to URA for inquiry without appointment,General Information about URA,Top Match,General Information about URA,,No Feedback,10/4/2019 15:06,10/4/2019 15:23,<1,Benjamin Chow,General Information about URA
contact no,General Information about URA,Top Match,General Information about URA,,No Feedback,10/4/2019 15:19,10/4/2019 15:23,<1,Benjamin Chow,Catch all
contact no,General Information about URA,Top Match,General Information about URA,,No Feedback,10/4/2019 15:20,10/4/2019 15:23,<1,Benjamin Chow,Catch all
how to apply COU lodgement,,,General info on change of use,,No Feedback,10/4/2019 10:21,10/4/2019 15:23,<1,Benjamin Chow,General info on change of use
Is it acceptable for home based business to have employees from other companies in terms of partnerships,General info on renting private residential property,,General Info on Home Business,,No Feedback,10/4/2019 12:38,10/4/2019 15:22,<1,Benjamin Chow,General Info on Home Business
sublet,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/4/2019 11:42,10/4/2019 15:22,<1,Benjamin Chow,General info on renting private residential property
feedback on unauthorized enclosed balcony,Can I enclose my balcony?,,General info on reporting infringements,,No Feedback,10/4/2019 11:44,10/4/2019 15:21,<1,Benjamin Chow,General info on reporting infringements
Hello may I know if URA office is opened tomorrow for walkin inquiry,General information on Singapore City Gallery,Top Match,General Information about URA,,No Feedback,10/4/2019 15:01,10/4/2019 15:21,<1,Benjamin Chow,General Information about URA
where to get GFA,,,General info on Development Control guidelines and handbooks,,No Feedback,10/4/2019 12:53,10/4/2019 15:19,<1,Benjamin Chow,General info on Development Control guidelines and handbooks
I would like to check about a shophouse which is located at little india,General info on change of use,Top Match,General information on building conservation,,No Feedback,10/4/2019 13:12,10/4/2019 15:19,<1,Benjamin Chow,General information on building conservation
Forgot to renew my season carpark,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Car Parks,No Feedback,10/4/2019 6:56,10/4/2019 9:35,<1,Kan Yuan Jing,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?
can I buy season parking at HYDERABAD ROAD,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/4/2019 8:44,10/4/2019 9:35,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
hi my working area is near singpost and paya lebar quater Is there any carpark that i am looking for is restricted for tenants of nearby buildings,Car Parks-Season Parking-Apply,,Car Parks-Season Parking-Apply,,No Feedback,10/4/2019 9:25,10/4/2019 9:35,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
